transaction_id,date,product_id,product_name,category,quantity,unit_price,total_amount,currency
TX-BUE-20260714-001,2026-07-14,PROD-009,Silla Ergonómica,Hogar,4,6090,24360,ARS
TX-BUE-20260714-002,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,2,14470,28940,ARS
TX-BUE-20260714-003,2026-07-14,PROD-007,"Monitor Gamer 24""",Electrónica,2,10970,21940,ARS
TX-BUE-20260714-004,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,1,14970,14970,ARS
TX-BUE-20260714-005,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,2,8040,16080,ARS
TX-BUE-20260714-006,2026-07-14,PROD-006,Polera Algodón,Vestuario,3,4900,14700,ARS
TX-BUE-20260714-007,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,1,4350,4350,ARS
TX-BUE-20260714-008,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,1,7850,7850,ARS
TX-BUE-20260714-009,2026-07-14,PROD-006,Polera Algodón,Vestuario,4,9300,37200,ARS
TX-BUE-20260714-010,2026-07-14,PROD-007,"Monitor Gamer 24""",Electrónica,3,6180,18540,ARS
TX-BUE-20260714-011,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,3,12240,36720,ARS
TX-BUE-20260714-012,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,4,14770,59080,ARS
TX-BUE-20260714-013,2026-07-14,PROD-006,Polera Algodón,Vestuario,3,12430,37290,ARS
TX-BUE-20260714-014,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,1,5490,5490,ARS
TX-BUE-20260714-015,2026-07-14,PROD-006,Polera Algodón,Vestuario,4,1570,6280,ARS
TX-BUE-20260714-016,2026-07-14,PROD-004,Cafetera Expreso,Hogar,4,10490,41960,ARS
TX-BUE-20260714-017,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,2,8170,16340,ARS
TX-BUE-20260714-018,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,4,10030,40120,ARS
TX-BUE-20260714-019,2026-07-14,PROD-004,Cafetera Expreso,Hogar,1,10670,10670,ARS
TX-BUE-20260714-020,2026-07-14,PROD-007,"Monitor Gamer 24""",Electrónica,2,12730,25460,ARS
TX-BUE-20260714-021,2026-07-14,PROD-009,Silla Ergonómica,Hogar,1,3930,3930,ARS
TX-BUE-20260714-022,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,3,4200,12600,ARS
TX-BUE-20260714-023,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,4,8770,35080,ARS
TX-BUE-20260714-024,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,2,14950,29900,ARS
TX-BUE-20260714-025,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,1,13360,13360,ARS
TX-BUE-20260714-026,2026-07-14,PROD-007,"Monitor Gamer 24""",Electrónica,1,4900,4900,ARS
TX-BUE-20260714-027,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,4,12850,51400,ARS
TX-BUE-20260714-028,2026-07-14,PROD-004,Cafetera Expreso,Hogar,4,6660,26640,ARS
TX-BUE-20260714-029,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,4,12910,51640,ARS
TX-BUE-20260714-030,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,4,11990,47960,ARS
