transaction_id,date,product_id,product_name,category,quantity,unit_price,total_amount,currency
TX-SAN-20260714-001,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,4,76300,305200,CLP
TX-SAN-20260714-002,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,1,49800,49800,CLP
TX-SAN-20260714-003,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,3,12500,37500,CLP
TX-SAN-20260714-004,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,1,50100,50100,CLP
TX-SAN-20260714-005,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,3,6500,19500,CLP
TX-SAN-20260714-006,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,4,67400,269600,CLP
TX-SAN-20260714-007,2026-07-14,PROD-006,Polera Algodón,Vestuario,2,18600,37200,CLP
TX-SAN-20260714-008,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,1,27800,27800,CLP
TX-SAN-20260714-009,2026-07-14,PROD-006,Polera Algodón,Vestuario,1,37400,37400,CLP
TX-SAN-20260714-010,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,3,50900,152700,CLP
TX-SAN-20260714-011,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,4,26900,107600,CLP
TX-SAN-20260714-012,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,4,43600,174400,CLP
TX-SAN-20260714-013,2026-07-14,PROD-009,Silla Ergonómica,Hogar,3,69500,208500,CLP
TX-SAN-20260714-014,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,1,38800,38800,CLP
TX-SAN-20260714-015,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,4,75700,302800,CLP
TX-SAN-20260714-016,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,2,27800,55600,CLP
TX-SAN-20260714-017,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,2,56300,112600,CLP
TX-SAN-20260714-018,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,4,42100,168400,CLP
TX-SAN-20260714-019,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,2,34300,68600,CLP
TX-SAN-20260714-020,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,4,61700,246800,CLP
TX-SAN-20260714-021,2026-07-14,PROD-006,Polera Algodón,Vestuario,2,46000,92000,CLP
TX-SAN-20260714-022,2026-07-14,PROD-006,Polera Algodón,Vestuario,1,77700,77700,CLP
TX-SAN-20260714-023,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,4,75500,302000,CLP
TX-SAN-20260714-024,2026-07-14,PROD-004,Cafetera Expreso,Hogar,2,59500,119000,CLP
TX-SAN-20260714-025,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,2,19700,39400,CLP
TX-SAN-20260714-026,2026-07-14,PROD-009,Silla Ergonómica,Hogar,2,29400,58800,CLP
TX-SAN-20260714-027,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,3,67200,201600,CLP
TX-SAN-20260714-028,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,1,26100,26100,CLP
TX-SAN-20260714-029,2026-07-14,PROD-009,Silla Ergonómica,Hogar,1,65200,65200,CLP
TX-SAN-20260714-030,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,1,79000,79000,CLP
